Unnamed: 0,id,alert_id,movement_date,date,evaluation_date,household,Pop_2020,population_id,population_label,health_zone_id,health_zone_label,hebergement_id,hebergement_label,cause_id,cause_label,admin1_id,province,admin2_id,admin2_label,admin2_type,admin3_id,admin3_label,admin4_id,admin4_label,admin5_id,admin5_label,admin1_id_from,admin1_label_from,admin2_id_from,admin2_label_from,admin2_type_from,admin3_id_from,admin3_label_from,admin4_id_from,admin4_label_from,admin5_id_from,admin5_label_from,hz_id_from,hz_label_from,site,mois-evaluation,annee-evaluation,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,Pop_2019,F_00_04_2019,M_00_04_2019,F_05_19_2019,M_05_19_2019,F_adulte_2019,M_adulte_2019,F_agee_2019,M_agee_2019,T_00_04_2019,T_05_19_2019,T_adulte_2019,T_agee_2019,F_2019,M_2019,T_2019,F_00_04_2020,M_00_04_2020,F_05_19_2020,M_05_19_2020,F_adulte_2020,M_adulte_2020,F_agee_2020,M_agee_2020,T_00_04_2020,T_05_19_2020,T_adulte_2020,T_agee_2020,F_2020,M_2020,T_2020,_merge
,,,,,,,1826974,,,,,,,,,,Haut-Uele,,,,,,,,,,,,,,,,,,,,,,,,,,CD53,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,1784156.0,136309.0,143091.0,309194.0,324626.0,405717.0,392426.0,41124.0,33006.0,279400.0,633820.0,798143.0,74130.0,892344.0,893149.0,1785493.0,139580.0,146523.0,316615.0,332418.0,415454.0,401843.0,42112.0,33799.0,286103.0,649033.0,817297.0,75911.0,942719.0,884255.0,1826974.0,right_only
,,,,,,,5611925,,,,,,,,,,Ituri,,,,,,,,,,,,,,,,,,,,,,,,,,CD54,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,5480394.0,418701.0,439527.0,949751.0,997158.0,1246242.0,1205412.0,126323.0,101388.0,858228.0,1946909.0,2451654.0,227711.0,2741017.0,2743485.0,5484502.0,428751.0,450076.0,972546.0,1021089.0,1276152.0,1234343.0,129354.0,103820.0,878827.0,1993635.0,2510495.0,233174.0,2850858.0,2761067.0,5611925.0,right_only
,,,,,,,4492960,,,,,,,,,,Kasaï,,,,,,,,,,,,,,,,,,,,,,,,,,CD92,Kasai,<Null>,<Null>,République démocratique du Congo (la),CD,4357869.0,390683.0,406589.0,853489.0,882904.0,856539.0,829956.0,76480.0,60138.0,797272.0,1736393.0,1686495.0,136618.0,2177191.0,2179587.0,4356778.0,402794.0,419192.0,879946.0,910273.0,883091.0,855684.0,78851.0,62002.0,821986.0,1790219.0,1738775.0,140853.0,2219522.0,2273438.0,4492960.0,right_only
,,,,,,,4788439,,,,,,,,,,Kasaï-Central,,,,,,,,,,,,,,,,,,,,,,,,,,CD91,Kasai-Central,<Null>,<Null>,République démocratique du Congo (la),CD,4644460.0,416376.0,433328.0,909618.0,940967.0,912869.0,884539.0,81510.0,64094.0,849704.0,1850585.0,1797408.0,145604.0,2320373.0,2322928.0,4643301.0,429284.0,446761.0,937815.0,970136.0,941168.0,911958.0,84038.0,66081.0,876045.0,1907951.0,1853126.0,150119.0,2475624.0,2312815.0,4788439.0,right_only
,,,,,,,5413325,,,,,,,,,,Kasaï-Oriental,,,,,,,,,,,,,,,,,,,,,,,,,,CD82,Kasai-Oriental,<Null>,<Null>,République démocratique du Congo (la),CD,5230266.0,525119.0,537672.0,1027224.0,1057559.0,983552.0,967077.0,79502.0,51518.0,1062791.0,2084783.0,1950629.0,131020.0,2615397.0,2613826.0,5229223.0,543498.0,556490.0,1063177.0,1094575.0,1017976.0,1000924.0,82283.0,53323.0,1099988.0,2157752.0,2018900.0,135606.0,2668771.0,2744554.0,5413325.0,right_only
,,,,,,,9924784,,,,,,,,,,Kinshasa,,,,,,,,,,,,,,,,,,,,,,,,,,CD10,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,9479257.0,988687.0,994374.0,1841346.0,1862200.0,1843242.0,1830445.0,65407.0,52136.0,1983061.0,3703546.0,3673687.0,117543.0,4738682.0,4739155.0,9477837.0,1035155.0,1041110.0,1927889.0,1949724.0,1929874.0,1916476.0,68481.0,54586.0,2076265.0,3877613.0,3846350.0,123067.0,5220436.0,4704348.0,9924784.0,right_only
,,,,,,,4019147,,,,,,,,,,Kongo-Central,,,,,,,,,,,,,,,,,,,,,,,,,,CD20,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,3886990.0,405024.0,399971.0,803636.0,792363.0,689745.0,744359.0,46839.0,67440.0,804995.0,1595999.0,1434104.0,114279.0,1945244.0,2004133.0,3949377.0,418794.0,413571.0,830960.0,819302.0,713199.0,769667.0,48430.0,69735.0,832365.0,1650262.0,1482866.0,118165.0,2081918.0,1937229.0,4019147.0,right_only
,,,,,,,2507332,,,,,,,,,,Kwango,,,,,,,,,,,,,,,,,,,,,,,,,,CD31,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,2434304.0,229191.0,243309.0,462762.0,488930.0,485644.0,454120.0,39801.0,30550.0,472500.0,951692.0,939764.0,70351.0,1217398.0,1216909.0,2434307.0,236066.0,250609.0,476645.0,503598.0,500212.0,467743.0,40995.0,31467.0,486675.0,980243.0,967955.0,72462.0,1281247.0,1226085.0,2507332.0,right_only
,,,,,,,5018175,,,,,,,,,,Kwilu,,,,,,,,,,,,,,,,,,,,,,,,,,CD32,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,4872014.0,458702.0,486957.0,926170.0,978545.0,971967.0,908874.0,79657.0,61145.0,945659.0,1904715.0,1880841.0,140802.0,2436496.0,2435521.0,4872017.0,472460.0,501566.0,953955.0,1007899.0,1001125.0,936141.0,82047.0,62979.0,974026.0,1961854.0,1937266.0,145026.0,2589379.0,2428796.0,5018175.0,right_only
,,,,,,,3991994,,,,,,,,,,Lomami,,,,,,,,,,,,,,,,,,,,,,,,,,CD81,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,3857001.0,387243.0,396498.0,757516.0,779886.0,725309.0,713159.0,58627.0,37992.0,783741.0,1537402.0,1438468.0,96619.0,1928695.0,1927535.0,3856230.0,400797.0,410378.0,784027.0,807182.0,750695.0,738119.0,60678.0,39322.0,811175.0,1591209.0,1488814.0,100000.0,2023940.0,1968054.0,3991994.0,right_only
