,FID,vid,cid,id,source,project,pcode,name,date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
4900,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d9f,4901,3614,156,IPIS,IPIS - Madini,codmine03675,Djof,2020,1,,POINT (30.29948363698993 1.882539926952626),30.29948364,1.88253993,Approximation,Ituri,orientale,Djugu,Mambisa,Madje,Mabanga,600,less2h,more2h,0,1,Or,"Mabanga, nizi, Iga","Bunia, Butembo, Beni",,,,,,,1,1,1,FARDC,FARDC - Éléments indisciplinés,Quotidien,1,0,1,0,0,0,0,0,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Une fois tous les 15 jours,1,1,0,1,0,0,0,0,SAESSCAM,Division des mines,ANR,DGI,,,,1,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4901,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d9e,4902,3615,101,IPIS,IPIS - Madini,codmine01722,Lubichako,2020,1,,POINT (28.752467125358216 -4.876731991108169),28.75246713,-4.87673199,GPS,Sud-Kivu,Sud-Kivu,Fizi,Ngandja,Babungwe,Lubichako,180,less2h,less2h,0,1,Or,Misisi Centre,"Bukavu, kalemi, Baraka, uvira",,,,,,,0,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois par mois,1,0,0,0,0,0,0,1,Police des Mines (PMH),PMH - Éléments indisciplinés,Plus d'une fois par semaine,1,0,0,0,0,0,0,0,SAESSCAM,Division des mines,Secteur,Anti-fraude,,,,0,,0,
4902,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d9d,4903,3616,102,IPIS,IPIS - Madini,codmine03473,Kachemba,2020,1,,POINT (28.701428092101903 -4.807231489996426),28.70142809,-4.80723149,GPS,Sud-Kivu,Sud-Kivu,Fizi,,,,290,less2h,less2h,0,1,Or,Misisi centre,"Bukavu, kalemi, uvira et Baraka",,,,,,,0,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois par mois,1,0,0,0,0,0,0,1,Police des Mines (PMH),PMH - Éléments indisciplinés,Plus d'une fois par semaine,1,0,0,0,0,0,0,0,SAESSCAM,Division des mines,Anti-fraude,Secteur,,,,1,"Creuser, Traiter les déchets",0,
4903,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d9c,4904,3617,103,IPIS,IPIS - Madini,codmine03702,Butale,2020,1,,POINT (28.70429774789197 -4.8025721352590995),28.70429775,-4.80257214,GPS,Sud-Kivu,Sud-Kivu,Fizi,Ngandja,Basikasilu,Butale,160,less2h,less2h,0,1,Or,Misisi centre,"Bukavu, Kalemi, Baraka, uvira",,,,,,,0,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois par mois,1,0,0,0,0,0,0,1,Police des Mines (PMH),PMH - Éléments indisciplinés,Une fois par semaine,1,0,0,0,0,0,0,0,SAESSCAM,Division des mines,Secteur,Anti-fraude,,,,1,Traiter les déchets,0,
4904,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d9b,4905,3618,152,IPIS,IPIS - Madini,codmine03138,Madesu ya Bana,2020,1,,POINT (29.12494753067163 1.2701041174353973),29.12494753,1.27010412,GPS,Ituri,orientale,Mambasa,Mambasa,Mputu,Manya,82,less2h,less2h,0,1,Or,Butama,Bunia,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,Police de Mine,,,,,0,,1,"Creuser, Lavage, Propriétaire de puit"
4905,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d9a,4906,3619,129,IPIS,IPIS - Madini,codmine00107,Tsatsaku,2020,1,,POINT (30.321873 1.73861),30.321873,1.73861,GPS,Ituri,orientale,Djugu,Bahema Baguru,Lopa,Ngaju,600,more2h,more2h,0,1,Or,Iga,"Bunia, Beni, Butembo",,,,,,,1,1,1,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Aléatoire,1,0,0,0,0,0,0,0,,0,,,,,,,,,,ANR,,,,,,,1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Transport des minerais, Traiter les déchets, Usage du mercure"
4906,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d99,4907,3620,149,IPIS,IPIS - Madini,codmine02721,Kandate,2020,1,,POINT (29.109265 1.2480483333),29.109265,1.24804833,GPS,Ituri,orientale,Mambasa,Bakwanza,Babila Bapwele,Metale,100,carmoto,carmoto,0,1,Or,Mambasa,"Bunia ,Butembo",,,,,,,1,1,0,FARDC,FARDC - Pas d’ingérence constatée,Aléatoire,0,0,0,0,0,0,0,0,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,1,"Concassage, Transport des minerais",1,Propriétaire de puit
4907,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d98,4908,3621,110,IPIS,IPIS - Madini,codmine00069,Pede,2020,1,,POINT (29.0353400669974 1.2028078517363519),29.03534007,1.20280785,GPS,Ituri,orientale,Mambasa,Mambasa,Mputu,Butiaba,104,less2h,more2h,0,1,Or,Some,"Bunia,Butembo",,,,,,,1,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois tous les 15 jours,1,0,0,0,0,0,0,0,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,0,,0,
4908,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d97,4909,3622,140,IPIS,IPIS - Madini,codmine02685,Mingazi Congo yasika,2020,1,,POINT (29.046293310286682 1.2214033582578414),29.04629331,1.22140336,GPS,Ituri,orientale,Mambasa,Mambasa,Mputu,Butama,8,less2h,more2h,0,1,Or,Mambasa,Bunia,,,,,,,0,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois tous les 15 jours,1,0,0,0,0,0,0,0,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,0,,1,Propriétaire de puit
4909,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d96,4910,3623,157,IPIS,IPIS - Madini,codmine03676,Lony mokili,2020,1,,POINT (30.299603041817107 1.8871757863128733),30.29960304,1.88717579,GPS,Ituri,orientale,Djugu,Mambisa,Mandje,Mabanga,1000,less2h,more2h,0,1,Or,"Mabanga, Nizi","Iga, Bunia, Butembo, Beni",,,,,,,1,1,1,FARDC,FARDC - Éléments indisciplinés,Aléatoire,1,0,1,0,1,0,0,0,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Une fois tous les 15 jours,1,1,0,1,0,0,0,0,SAESSCAM,Division des mines,Énergie,Dgrpi,,,,1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4910,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d95,4911,3624,158,IPIS,IPIS - Madini,codmine03677,Dhalo,2020,1,,POINT (30.303822660587237 1.882566370084247),30.30382266,1.88256637,GPS,Ituri,orientale,Djugu,Mambisa,Gwandjinga,Pension,300,more2h,more2h,0,1,Or,"Mabanga,  Nizi","Bunia, Butembo, Béni",,,,,,,1,1,1,Autodéfense,Groupe armé local,Aléatoire,1,0,0,0,0,1,1,0,,0,,,,,,,,,,SAESSCAM,Division des mines,Chefferie,DGI,,,,1,"Concassage, Lavage, Traiter les déchets",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4911,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d94,4912,3625,109,IPIS,IPIS - Madini,codmine00068,Kanzambu,2020,1,,POINT (29.010716300129676 1.1856076117098069),29.0107163,1.18560761,GPS,Ituri,orientale,Mambasa,Mambasa,Mputu,Butiaba,100,more2h,more2h,0,1,Or,Butama,"Mambasa,Bunia",,,,,,,0,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois tous les 15 jours,1,1,0,0,0,0,0,0,,0,,,,,,,,,,SAESSCAM,,,,,,,0,,0,
4912,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d93,4913,3626,145,IPIS,IPIS - Madini,codmine02704,Guerite,2020,1,,POINT (29.0375933333 1.2125166667),29.03759333,1.21251667,GPS,Ituri,orientale,Mambasa,Mambasa,Mputu,Butama,55,less2h,more2h,0,1,Or,Mambasa,"Butembo,Bunia",,,,,,,0,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois tous les 15 jours,1,0,0,0,0,0,0,0,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,1,Traiter les déchets,0,
